cache_key,query_final,lat,lon,direccion,place_id,fuente_coords
"diània, barcelona, spain","Diània, Barcelona, Spain",41.3994869,2.1581862,"Diània, 20, Carrer de Mozart, la Vila de Gràcia, Gràcia, Barcelona, Barcelonés, Barcelona, Cataluña, 08012, España",76165673,OSM
"la bella italia, sabadell, spain","La Bella Italia, Sabadell, Spain",41.5505226,2.100999,"La Bella Italia, 135, Ronda de Zamenhof, el Centre, Sabadell, Vallés Occidental, Barcelona, Cataluña, 08201, España",432578082,OSM
"restaurant suïs, sabadell, spain","Restaurant Suïs, Sabadell, Spain",41.5478349,2.1147563,"Restaurant Suis, 40, Carrer de l'Estació, el Centre, Sabadell, Vallés Occidental, Barcelona, Cataluña, 08202, España",75972385,OSM
